street,city,beds,baths,sq__ft,type,price
3526 HIGH ST,SACRAMENTO,2,1,836,Residential,65144.200000000004
51 OMAHA CT,SACRAMENTO,3,1,1167,Residential,75033.20000000001
2796 BRANCH ST,SACRAMENTO,2,1,796,Residential,75768.0
2805 JANETTE WAY,SACRAMENTO,2,1,852,Residential,76237.70000000001
6001 MCMAHON DR,SACRAMENTO,2,1,797,Residential,90090.0
5828 PEPPERMILL CT,SACRAMENTO,3,1,1122,Condo,98913.1
6048 OGDEN NASH WAY,SACRAMENTO,3,2,1104,Residential,99984.50000000001
2561 19TH AVE,SACRAMENTO,3,1,1177,Residential,100102.20000000001
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,2,2,941,Condo,94905.0
7325 10TH ST,RIO LINDA,3,2,1146,Residential,98937.0
645 MORRISON AVE,SACRAMENTO,3,2,909,Residential,110339.90000000001
4085 FAWN CIR,SACRAMENTO,3,2,1289,Residential,116875.00000000001
2930 LA ROSA RD,SACRAMENTO,1,1,871,Residential,117537.20000000001
2113 KIRK WAY,SACRAMENTO,3,1,1020,Residential,118252.20000000001
4533 LOCH HAVEN WAY,SACRAMENTO,2,2,1022,Residential,119625.00000000001
7340 HAMDEN PL,SACRAMENTO,2,2,1134,Condo,121770.00000000001
6715 6TH ST,RIO LINDA,2,1,844,Residential,113263.0
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,2,1,795,Condo,116250.0
250 PERALTA AVE,SACRAMENTO,2,1,588,Residential,132000.0
113 LEEWILL AVE,RIO LINDA,3,2,1356,Residential,121630.0
6118 STONEHAND AVE,CITRUS HEIGHTS,3,2,1118,Residential,122000.0
4882 BANDALIN WAY,SACRAMENTO,4,2,1329,Residential,134950.2
7511 OAKVALE CT,NORTH HIGHLANDS,4,2,1240,Residential,123000.0
9 PASTURE CT,SACRAMENTO,3,2,1601,Residential,136510.0
3729 BAINBRIDGE DR,NORTH HIGHLANDS,3,2,901,Residential,125000.0
3828 BLACKFOOT WAY,ANTELOPE,3,2,1088,Residential,126640.0
4108 NORTON WAY,SACRAMENTO,3,1,963,Residential,140009.1
1469 JANRICK AVE,SACRAMENTO,3,2,1119,Residential,141900.0
9861 CULP WAY,SACRAMENTO,4,2,1380,Residential,144320.0
7825 CREEK VALLEY CIR,SACRAMENTO,3,2,1248,Residential,145200.0
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,2,2,1039,Condo,133000.0
6768 MEDORA DR,NORTH HIGHLANDS,3,2,1152,Residential,134555.0
3100 EXPLORER DR,SACRAMENTO,3,2,1380,Residential,150150.0
7944 DOMINION WAY,ELVERTA,3,2,1116,Residential,138750.0
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,2,2,1039,Condo,141000.0
3920 SHINING STAR DR,SACRAMENTO,3,2,1418,Residential,160875.0
5031 CORVAIR ST,NORTH HIGHLANDS,3,2,1082,Residential,147308.0
7661 NIXOS WAY,SACRAMENTO,4,2,1472,Residential,163625.0
7044 CARTHY WAY,SACRAMENTO,4,2,1146,Residential,164552.30000000002
2442 LARKSPUR LN,SACRAMENTO,1,1,760,Condo,165000.0
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,2,2,1304,Condo,167200.0
2178 63RD AVE,SACRAMENTO,3,2,1207,Residential,169400.0
8718 ELK WAY,ELK GROVE,3,2,1056,Residential,156896.0
5708 RIDGEPOINT DR,ANTELOPE,2,2,1043,Residential,161250.0
7315 KOALA CT,NORTH HIGHLANDS,4,2,1587,Residential,161500.0
2622 ERIN DR,SACRAMENTO,4,1,1120,Residential,180400.00000000003
8421 SUNBLAZE WAY,SACRAMENTO,4,2,1580,Residential,181500.00000000003
7420 ALIX PKWY,SACRAMENTO,4,1,1955,Residential,182992.7
3820 NATOMA WAY,SACRAMENTO,4,2,1656,Residential,182992.7
4431 GREEN TREE DR,SACRAMENTO,3,2,1477,Residential,184800.00000000003
9417 SARA ST,ELK GROVE,3,2,1188,Residential,170000.0
8299 HALBRITE WAY,SACRAMENTO,4,2,1590,Residential,190300.00000000003
7223 KALLIE KAY LN,SACRAMENTO,3,2,1463,Residential,191675.00000000003
8156 STEINBECK WAY,SACRAMENTO,4,2,1714,Residential,191744.30000000002
7957 VALLEY GREEN DR,SACRAMENTO,3,2,1185,Residential,196328.00000000003
1122 WILD POPPY CT,GALT,3,2,1406,Residential,178760.0
4520 BOMARK WAY,SACRAMENTO,4,2,1943,Multi-Family,197538.00000000003
9012 KIEFER BLVD,SACRAMENTO,3,2,1172,Residential,199100.00000000003
5332 SANDSTONE ST,CARMICHAEL,3,1,1152,Residential,181872.0
5993 SAWYER CIR,SACRAMENTO,4,3,1851,Residential,200845.7
4844 CLYDEBANK WAY,ANTELOPE,3,2,1215,Residential,182716.0
306 CAMELLIA WAY,GALT,3,2,1130,Residential,182750.0
9021 MADISON AVE,ORANGEVALE,4,2,1603,Residential,183200.0
